review_id,k,year,score,classification
CD000028,3,1985.0,0.0,Unstable
CD000028,4,1985.0,0.0,Unstable
CD000028,5,1986.0,0.0,Unstable
CD000028,6,1986.0,0.0,Unstable
CD000028,7,1986.0,0.0,Unstable
CD000028,8,1986.0,0.0,Unstable
CD000028,9,1989.0,0.0,Unstable
CD000028,10,1989.0,100.0,Robust
CD000028,11,1991.0,100.0,Robust
CD000028,12,1991.0,100.0,Robust
CD000028,13,1991.0,100.0,Robust
CD000028,14,1991.0,100.0,Robust
CD000028,15,1992.0,100.0,Robust
CD000028,16,1992.0,100.0,Robust
CD000028,17,1993.0,100.0,Robust
CD000028,18,1993.0,100.0,Robust
CD000028,19,1999.0,100.0,Robust
CD000028,20,0,100.0,Robust
CD000028,21,0,100.0,Robust
CD000143,3,1991.0,100.0,Robust
CD000143,4,1994.0,62.5,Fragile
CD000143,5,1994.0,37.5,Unstable
CD000143,6,1994.0,50.0,Fragile
CD000143,7,1995.0,75.0,Moderate
CD000143,8,1995.0,50.0,Fragile
CD000143,9,1995.0,25.0,Unstable
CD000143,10,1995.0,25.0,Unstable
CD000143,11,1998.0,37.5,Unstable
CD000143,12,1998.0,25.0,Unstable
CD000219,3,1981.0,0.0,Unstable
CD000219,4,1981.0,0.0,Unstable
CD000219,5,1981.0,0.0,Unstable
CD000219,6,1981.0,0.0,Unstable
CD000219,7,1985.0,0.0,Unstable
CD000219,8,1985.0,0.0,Unstable
CD000219,9,1985.0,0.0,Unstable
CD000219,10,1991.0,37.5,Unstable
CD000219,11,1991.0,100.0,Robust
CD000219,12,1991.0,75.0,Moderate
CD000219,13,1991.0,100.0,Robust
CD000219,14,2000.0,100.0,Robust
CD000219,15,2005.0,100.0,Robust
CD000219,16,2005.0,100.0,Robust
CD000219,17,2011.0,100.0,Robust
CD000219,18,2011.0,100.0,Robust
CD000219,19,2011.0,100.0,Robust
CD000219,20,2011.0,100.0,Robust
CD000219,21,2014.0,100.0,Robust
CD000478,3,2000.0,0.0,Unstable
CD000478,4,2000.0,50.0,Fragile
CD000478,5,2000.0,50.0,Fragile
CD000478,6,2000.0,100.0,Robust
CD000478,7,2002.0,100.0,Robust
CD000478,8,2012.0,100.0,Robust
CD000478,9,2017.0,100.0,Robust
CD000478,10,2017.0,100.0,Robust
CD000478,11,2017.0,100.0,Robust
CD000478,12,2022.0,100.0,Robust
CD000478,13,2023.0,100.0,Robust
CD000547,3,1994.0,62.5,Fragile
CD000547,4,1994.0,62.5,Fragile
CD000547,5,1994.0,62.5,Fragile
CD000547,6,1994.0,100.0,Robust
CD000547,7,1994.0,100.0,Robust
CD000547,8,1994.0,100.0,Robust
CD000547,9,1994.0,100.0,Robust
CD000547,10,1994.0,100.0,Robust
CD000547,11,1994.0,100.0,Robust
CD000547,12,1994.0,100.0,Robust
CD000547,13,1995.0,100.0,Robust
CD000547,14,1995.0,100.0,Robust
CD000547,15,1995.0,100.0,Robust
CD000547,16,1995.0,100.0,Robust
CD000547,17,1995.0,100.0,Robust
CD000547,18,1995.0,100.0,Robust
CD000547,19,1995.0,100.0,Robust
CD000547,20,1995.0,100.0,Robust
CD000547,21,1995.0,100.0,Robust
CD000547,22,1995.0,100.0,Robust
CD000547,23,1995.0,100.0,Robust
CD000547,24,1996.0,100.0,Robust
CD000547,25,1996.0,100.0,Robust
CD000547,26,1996.0,100.0,Robust
CD000547,27,1996.0,100.0,Robust
CD000547,28,1996.0,100.0,Robust
CD000547,29,1996.0,100.0,Robust
CD000547,30,1996.0,100.0,Robust
CD000547,31,1996.0,100.0,Robust
CD000547,32,1996.0,100.0,Robust
CD000547,33,1996.0,100.0,Robust
CD000547,34,1996.0,100.0,Robust
CD000547,35,1996.0,100.0,Robust
CD000547,36,1996.0,100.0,Robust
CD000547,37,1996.0,100.0,Robust
CD000547,38,2003.0,100.0,Robust
CD000547,39,2003.0,100.0,Robust
CD000547,40,2003.0,100.0,Robust
CD000547,41,2007.0,100.0,Robust
CD000547,42,2007.0,100.0,Robust
CD000547,43,2007.0,100.0,Robust
CD000547,44,2007.0,100.0,Robust
CD000547,45,2007.0,100.0,Robust
CD000547,46,2007.0,100.0,Robust
CD000547,47,2007.0,100.0,Robust
CD000547,48,2007.0,100.0,Robust
CD001155,3,1998.0,0.0,Unstable
CD001155,4,1999.0,0.0,Unstable
CD001155,5,2000.0,0.0,Unstable
CD001155,6,2000.0,0.0,Unstable
CD001155,7,2000.0,0.0,Unstable
CD001155,8,2000.0,0.0,Unstable
CD001155,9,2000.0,0.0,Unstable
CD001155,10,2000.0,0.0,Unstable
CD001155,11,2000.0,0.0,Unstable
CD001155,12,2002.0,0.0,Unstable
CD001155,13,2002.0,0.0,Unstable
CD001155,14,2002.0,0.0,Unstable
CD001155,15,2002.0,0.0,Unstable
CD001155,16,2003.0,0.0,Unstable
CD001155,17,2004.0,0.0,Unstable
CD001155,18,2004.0,0.0,Unstable
CD001155,19,2005.0,0.0,Unstable
CD001155,20,2005.0,0.0,Unstable
CD001155,21,2005.0,0.0,Unstable
CD001155,22,2005.0,0.0,Unstable
CD001155,23,2005.0,0.0,Unstable
CD001155,24,2005.0,0.0,Unstable
CD001155,25,2005.0,0.0,Unstable
CD001155,26,2005.0,0.0,Unstable
CD001155,27,2005.0,0.0,Unstable
CD001155,28,2005.0,0.0,Unstable
CD001155,29,2005.0,0.0,Unstable
CD001155,30,2005.0,0.0,Unstable
CD001155,31,2005.0,0.0,Unstable
CD001155,32,2006.0,0.0,Unstable
CD001155,33,2006.0,0.0,Unstable
CD001155,34,2007.0,0.0,Unstable
CD001155,35,2008.0,0.0,Unstable
CD001155,36,2008.0,0.0,Unstable
CD001155,37,2009.0,0.0,Unstable
CD001155,38,2009.0,0.0,Unstable
CD001155,39,2009.0,0.0,Unstable
CD001155,40,2010.0,0.0,Unstable
CD001155,41,2010.0,0.0,Unstable
CD001155,42,2011.0,0.0,Unstable
CD001155,43,2011.0,0.0,Unstable
CD001155,44,2011.0,0.0,Unstable
CD001155,45,2011.0,0.0,Unstable
CD001155,46,2011.0,0.0,Unstable
CD001155,47,2011.0,0.0,Unstable
CD001155,48,2011.0,0.0,Unstable
CD001155,49,2012.0,0.0,Unstable
CD001155,50,2012.0,0.0,Unstable
CD001155,51,2014.0,0.0,Unstable
CD001155,52,2015.0,0.0,Unstable
CD001155,53,2016.0,0.0,Unstable
CD001155,54,2016.0,0.0,Unstable
CD001155,55,2016.0,0.0,Unstable
CD001155,56,2016.0,25.0,Unstable
CD001155,57,2017.0,25.0,Unstable
CD001155,58,2017.0,25.0,Unstable
CD001155,59,2017.0,25.0,Unstable
CD001321,3,2004.0,25.0,Unstable
CD001321,4,2005.0,50.0,Fragile
